uid,iid,val
0,0,1
5,0,1
6,0,1
7,0,1
9,0,1
13,0,1
14,0,1
18,0,1
19,0,1
23,0,1
29,2,1
30,2,1
34,2,1
42,2,1
46,3,1
50,3,1
52,3,1
55,3,1
60,3,1
13,3,1
62,3,1
14,3,1
64,3,1
65,3,1
68,3,1
69,3,1
72,3,1
74,3,1
77,3,1
78,3,1
79,3,1
81,3,1
82,3,1
84,3,1
85,3,1
88,3,1
89,3,1
98,4,1
99,4,1
100,4,1
103,4,1
105,4,1
108,4,1
111,4,1
112,4,1
114,4,1
116,4,1
120,4,1
122,4,1
123,4,1
127,4,1
141,4,1
144,4,1
145,4,1
146,4,1
147,4,1
151,4,1
153,4,1
158,4,1
160,4,1
161,4,1
169,4,1
170,4,1
173,4,1
178,4,1
180,4,1
181,4,1
182,4,1
62,4,1
14,4,1
185,4,1
189,4,1
192,4,1
196,4,1
198,4,1
207,4,1
211,4,1
216,4,1
218,4,1
223,4,1
224,4,1
226,4,1
233,4,1
89,4,1
234,4,1
242,5,1
145,5,1
244,5,1
245,5,1
62,5,1
248,5,1
250,5,1
255,5,1
257,5,1
261,6,1
264,7,1
266,7,1
267,7,1
98,8,1
272,12,1
266,12,1
273,12,1
274,13,1
275,14,1
277,15,1
277,16,1
282,18,1
282,19,1
284,20,1
285,21,1
284,24,1
284,25,1
146,26,1
284,26,1
146,27,1
296,27,1
284,27,1
127,28,1
301,28,1
146,28,1
302,28,1
305,28,1
284,28,1
68,28,1
282,28,1
89,28,1
146,29,1
314,29,1
316,29,1
319,29,1
329,36,1
84,38,1
242,40,1
342,44,1
319,45,1
261,47,1
273,47,1
352,48,1
359,50,1
362,50,1
365,50,1
367,50,1
369,50,1
370,50,1
374,51,1
377,51,1
383,51,1
384,51,1
273,51,1
386,51,1
391,51,1
392,51,1
394,52,1
396,52,1
398,52,1
400,52,1
401,52,1
352,53,1
120,53,1
394,53,1
398,53,1
400,53,1
401,53,1
405,53,1
98,54,1
100,54,1
153,54,1
407,54,1
409,54,1
207,54,1
100,55,1
207,55,1
411,55,1
412,56,1
100,56,1
30,56,1
5,56,1
275,56,1
173,56,1
421,56,1
422,56,1
273,56,1
68,56,1
426,56,1
427,57,1
273,57,1
428,57,1
429,57,1
234,57,1
437,59,1
438,59,1
445,60,1
398,60,1
352,61,1
445,61,1
123,61,1
449,61,1
383,61,1
453,61,1
429,61,1
352,62,1
445,63,1
396,63,1
398,63,1
459,63,1
461,63,1
398,64,1
383,64,1
468,64,1
374,65,1
445,65,1
470,65,1
449,65,1
471,65,1
476,65,1
383,65,1
384,65,1
428,65,1
400,65,1
479,65,1
392,65,1
483,65,1
445,66,1
470,66,1
273,67,1
445,68,1
396,68,1
398,68,1
459,68,1
489,68,1
461,68,1
445,69,1
470,69,1
398,69,1
383,69,1
491,69,1
492,69,1
461,69,1
98,70,1
30,70,1
352,70,1
498,70,1
499,70,1
500,70,1
501,70,1
502,70,1
503,70,1
505,70,1
508,70,1
511,70,1
173,70,1
520,70,1
273,70,1
453,70,1
525,70,1
411,70,1
391,70,1
405,70,1
98,71,1
501,71,1
396,71,1
533,71,1
153,71,1
407,71,1
536,71,1
537,71,1
422,71,1
273,71,1
543,71,1
545,71,1
479,71,1
89,71,1
234,71,1
461,72,1
551,73,1
352,74,1
401,74,1
556,74,1
499,75,1
273,75,1
374,76,1
352,76,1
445,76,1
558,76,1
560,76,1
401,76,1
561,76,1
461,76,1
479,76,1
405,76,1
459,77,1
401,77,1
352,78,1
445,78,1
471,78,1
520,78,1
461,79,1
470,80,1
383,80,1
453,80,1
461,80,1
98,81,1
352,81,1
499,81,1
500,81,1
533,81,1
173,81,1
581,81,1
273,81,1
453,81,1
525,81,1
391,81,1
587,81,1
396,82,1
588,82,1
453,82,1
589,82,1
461,82,1
352,83,1
445,83,1
470,83,1
396,83,1
398,83,1
459,83,1
600,83,1
489,83,1
461,83,1
603,83,1
606,84,1
100,84,1
608,84,1
105,84,1
610,84,1
7,84,1
611,84,1
146,84,1
622,84,1
273,84,1
625,84,1
411,84,1
630,84,1
633,85,1
634,85,1
453,85,1
561,85,1
398,86,1
401,86,1
461,86,1
352,87,1
445,87,1
398,87,1
639,87,1
383,87,1
453,87,1
641,87,1
445,88,1
398,88,1
633,88,1
401,88,1
461,88,1
29,89,1
352,89,1
445,89,1
641,89,1
401,90,1
352,91,1
396,91,1
398,91,1
634,91,1
453,91,1
560,91,1
653,92,1
659,92,1
662,92,1
398,92,1
588,92,1
633,92,1
384,92,1
672,92,1
673,92,1
684,92,1
445,93,1
461,93,1
689,94,1
698,96,1
701,97,1
702,98,1
709,99,1
710,99,1
6,99,1
718,99,1
144,99,1
720,99,1
721,99,1
725,99,1
192,99,1
316,99,1
196,99,1
68,99,1
207,99,1
726,99,1
729,99,1
732,100,1
710,100,1
734,100,1
144,100,1
736,100,1
245,100,1
62,100,1
725,100,1
739,100,1
192,100,1
316,100,1
196,100,1
68,100,1
207,100,1
726,100,1
729,100,1
753,101,1
710,101,1
46,101,1
756,101,1
718,101,1
144,101,1
736,101,1
720,101,1
721,101,1
245,101,1
768,101,1
774,101,1
775,101,1
725,101,1
537,101,1
776,101,1
192,101,1
316,101,1
196,101,1
68,101,1
207,101,1
726,101,1
211,101,1
698,101,1
729,101,1
793,101,1
234,101,1
804,104,1
805,105,1
806,105,1
710,106,1
710,107,1
808,107,1
342,107,1
809,107,1
732,108,1
811,108,1
233,108,1
710,110,1
814,110,1
819,111,1
50,111,1
823,111,1
144,111,1
736,111,1
145,111,1
147,111,1
829,111,1
811,111,1
245,111,1
160,111,1
161,111,1
62,111,1
835,111,1
196,111,1
838,111,1
625,111,1
386,111,1
68,111,1
207,111,1
698,111,1
79,111,1
85,111,1
843,112,1
844,112,1
122,113,1
245,113,1
846,113,1
386,114,1
846,114,1
852,115,1
853,115,1
846,116,1
98,118,1
732,118,1
6,118,1
856,118,1
144,118,1
145,118,1
245,118,1
160,118,1
62,118,1
835,118,1
64,118,1
316,118,1
838,118,1
68,118,1
19,118,1
85,118,1
233,118,1
98,119,1
50,119,1
277,119,1
863,119,1
866,119,1
835,119,1
68,119,1
85,119,1
98,120,1
144,120,1
145,120,1
161,120,1
866,120,1
835,120,1
316,120,1
296,120,1
79,120,1
85,120,1
233,120,1
98,121,1
835,121,1
85,121,1
233,121,1
89,121,1
98,122,1
144,122,1
736,122,1
720,122,1
835,122,1
886,122,1
207,122,1
85,122,1
233,122,1
170,123,1
710,125,1
888,125,1
863,125,1
905,128,1
245,129,1
273,131,1
427,133,1
284,135,1
914,136,1
916,137,1
342,137,1
919,137,1
198,137,1
429,137,1
342,138,1
362,140,1
342,140,1
342,141,1
284,141,1
284,142,1
342,143,1
284,143,1
342,144,1
284,144,1
319,147,1
938,149,1
421,150,1
938,150,1
68,150,1
942,150,1
319,150,1
160,151,1
938,151,1
68,151,1
160,152,1
946,155,1
277,156,1
284,158,1
68,160,1
342,161,1
957,165,1
277,167,1
277,168,1
284,170,1
319,172,1
277,176,1
277,183,1
282,183,1
975,186,1
445,188,1
470,188,1
428,188,1
461,188,1
479,188,1
979,193,1
500,194,1
984,195,1
985,195,1
988,197,1
453,198,1
989,198,1
991,198,1
445,200,1
995,200,1
672,200,1
445,201,1
398,201,1
999,201,1
672,201,1
421,201,1
556,201,1
461,201,1
141,202,1
1007,202,1
1008,202,1
1009,203,1
718,203,1
537,204,1
1018,205,1
979,206,1
1024,206,1
829,206,1
245,206,1
768,206,1
537,206,1
69,206,1
979,207,1
768,207,1
1039,209,1
153,209,1
732,210,1
111,210,1
1046,210,1
1049,210,1
732,211,1
709,211,1
725,211,1
1046,211,1
732,212,1
1046,212,1
1059,213,1
196,213,1
1018,213,1
844,215,1
374,216,1
68,217,1
814,219,1
1078,221,1
127,221,1
1079,221,1
1080,221,1
811,221,1
170,221,1
62,221,1
775,221,1
248,221,1
273,221,1
1085,221,1
1088,221,1
282,221,1
226,221,1
319,221,1
753,222,1
888,222,1
500,222,1
1096,222,1
244,222,1
1098,222,1
250,222,1
1105,222,1
946,222,1
255,222,1
1088,222,1
630,222,1
319,222,1
979,223,1
144,223,1
145,223,1
147,223,1
1120,223,1
316,223,1
838,223,1
233,223,1
461,227,1
768,229,1
768,230,1
